id,level_id,"display_name","field",is_tag,is_value,in_library,is_del,"created_at","updated_at"
67,9,"厂家","",0,0,1,0,"2017-03-19 01:36:24","2017-04-11 00:06:48"
68,9,"额定功率","",0,0,1,0,"2017-03-19 01:36:43","2017-04-11 00:06:48"
69,9,"支路数量","",0,0,1,0,"2017-03-19 01:36:54","2017-04-11 00:06:48"
70,9,"支路电流","",0,0,1,0,"2017-03-19 01:37:01","2017-04-11 00:06:48"
71,9,"支路电压","",0,0,1,0,"2017-03-19 01:37:17","2017-04-11 00:06:48"
72,10,"型号","",0,0,1,0,"2017-03-19 01:37:21","2017-04-11 00:06:48"
73,10,"厂家","",0,0,1,0,"2017-03-19 01:37:26","2017-04-11 00:06:48"
74,10,"额定功率","",0,0,1,0,"2017-03-19 01:37:35","2017-04-11 00:06:48"
75,10,"额定电压","",0,0,1,0,"2017-03-19 01:37:40","2017-04-11 00:06:48"
76,10,"额定电流","",0,0,1,0,"2017-03-19 01:37:47","2017-04-11 00:06:48"
77,10,"尺寸","",0,0,1,0,"2017-03-19 01:37:51","2017-04-11 00:06:48"
78,7,"采购日期","",0,0,0,0,"2017-04-06 17:35:30","2017-04-11 00:06:48"
79,7,"上次维护日期","",0,0,0,0,"2017-04-06 17:35:44","2017-04-11 00:06:48"
80,7,"维护统计","",0,0,0,0,"2017-04-06 17:35:51","2017-04-11 00:06:48"
81,8,"采购日期","",0,0,0,0,"2017-04-06 17:36:00","2017-04-11 00:06:48"
82,8,"上次维护日期","",0,0,0,0,"2017-04-06 17:36:08","2017-04-11 00:06:48"
83,8,"维护统计","",0,0,0,0,"2017-04-06 17:36:21","2017-04-11 00:06:48"
84,9,"采购日期","",0,0,0,0,"2017-04-06 17:36:30","2017-04-11 00:06:48"
85,9,"上次维护日期","",0,0,0,0,"2017-04-06 17:36:38","2017-04-11 00:06:48"
86,9,"维护统计","",0,0,0,0,"2017-04-06 17:36:43","2017-04-11 00:06:48"
87,10,"采购日期","",0,0,0,0,"2017-04-06 17:36:52","2017-04-11 00:06:48"
88,10,"上次维护日期","",0,0,0,0,"2017-04-06 17:36:58","2017-04-11 00:06:48"
89,10,"维护统计","",0,0,0,0,"2017-04-06 17:37:05","2017-04-11 00:06:48"
91,2,"实时总有功功率","active_power_all",0,1,0,0,"2017-04-11 17:48:46","2017-04-11 17:48:46"
92,2," 节约标煤","carbon_save",0,1,0,0,"2017-04-11 17:48:46","2017-04-11 17:48:46"
93,2,"CO2减排量","co2_redution",0,1,0,0,"2017-04-11 17:48:46","2017-04-11 17:48:46"
94,2,"日预测发电量","energy_forecast_day",0,1,0,0,"2017-04-11 17:48:46","2017-04-11 17:48:46"
95,2,"月预测发电量","energy_forecast_month",0,1,0,0,"2017-04-11 17:48:46","2017-04-11 17:48:46"
96,2,"年预测发电量","energy_forecast_year",0,1,0,0,"2017-04-11 17:48:46","2017-04-11 17:48:46"
97,2,"累计发电量","energy_sum_all",0,1,0,0,"2017-04-11 17:48:46","2017-04-11 17:48:46"
98,2,"日发电量   ","energy_sum_day",0,1,0,0,"2017-04-11 17:48:46","2017-04-11 17:48:46"
99,2,"月发电量","energy_sum_month",0,1,0,0,"2017-04-11 17:48:46","2017-04-11 17:48:46"
100,2,"年发电量","energy_sum_year",0,1,0,0,"2017-04-11 17:48:46","2017-04-11 17:48:46"
101,2,"实体编号","id",0,1,0,0,"2017-04-11 17:48:46","2017-04-11 17:48:46"
102,2,"集团名称","name",0,1,0,0,"2017-04-11 17:48:46","2017-04-11 17:48:46"
103,2,"NO2减排量","no2_redution",0,1,0,0,"2017-04-11 17:48:46","2017-04-11 17:48:46"
104,2,"颗粒物减排量","pms_redution",0,1,0,0,"2017-04-11 17:48:46","2017-04-11 17:48:46"
105,2,"实时总无功功率","reactive_power_al",0,1,0,0,"2017-04-11 17:48:46","2017-04-11 17:48:46"
106,2,"SO2减排量","so2_redution",0,1,0,0,"2017-04-11 17:48:46","2017-04-11 17:48:46"
107,3,"实时总有功功率","active_power_all",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
108,3," 节约标煤","carbon_save",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
109,3,"CO2减排量","co2_redution",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
110,3,"安全运行天数","days_saferunning",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
111,3,"日发电效率","efficiency_day",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
112,3,"月发电效率","efficiency_month",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
113,3,"年发电效率","efficiency_year",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
114,3,"日预测发电量","energy_forecast_day",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
115,3,"月预测发电量","energy_forecast_month",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
116,3,"年预测发电量","energy_forecast_year",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
117,3,"累计发电量","energy_sum_all",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
118,3,"日发电量   ","energy_sum_day",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
